qualifying_groups_key,option_number,match_75,match_78,match_79,match_80,match_81,match_82,match_85,match_88
ABDEFHIK,358,3D,3F,3H,3K,3A,3B,3E,3I
ABDEFHIJ,359,3D,3F,3H,3I,3A,3B,3J,3E
ABDEFGKL,360,3D,3F,3E,3K,3A,3B,3G,3L
ABDEFGJL,361,3D,3F,3E,3J,3A,3B,3G,3L
ABDEFGJK,362,3D,3F,3E,3K,3A,3B,3G,3J
ABDEFGIL,363,3D,3F,3E,3I,3A,3B,3G,3L
ABDEFGIK,364,3D,3F,3E,3K,3A,3B,3G,3I
ABDEFGIJ,365,3D,3F,3E,3J,3A,3B,3G,3I
ABDEFGHL,366,3D,3F,3H,3E,3A,3B,3G,3L
ABDEFGHK,367,3D,3F,3H,3K,3A,3B,3G,3E
ABDEFGHJ,368,3D,3F,3H,3J,3A,3B,3G,3E
ABDEFGHI,369,3D,3F,3H,3I,3A,3B,3G,3E
ABCHIJKL,370,3C,3H,3I,3K,3A,3B,3J,3L
ABCGIJKL,371,3C,3G,3I,3K,3A,3B,3J,3L
ABCGHJKL,372,3C,3G,3H,3K,3A,3B,3J,3L
ABCGHIKL,373,3C,3H,3I,3K,3A,3B,3G,3L
ABCGHIJL,374,3C,3G,3H,3I,3A,3B,3J,3L
ABCGHIJK,375,3C,3G,3H,3K,3A,3B,3J,3I
ABCFIJKL,376,3C,3F,3I,3K,3A,3B,3J,3L
ABCFHJKL,377,3C,3F,3H,3K,3A,3B,3J,3L
ABCFHIKL,378,3C,3F,3H,3K,3A,3B,3I,3L
ABCFHIJL,379,3C,3F,3H,3I,3A,3B,3J,3L
ABCFHIJK,380,3C,3F,3H,3K,3A,3B,3J,3I
ABCFGJKL,381,3F,3G,3C,3K,3A,3B,3J,3L
ABCFGIKL,382,3C,3F,3I,3K,3A,3B,3G,3L
ABCFGIJL,383,3F,3G,3C,3I,3A,3B,3J,3L
ABCFGIJK,384,3F,3G,3C,3K,3A,3B,3J,3I
ABCFGHKL,385,3C,3F,3H,3K,3A,3B,3G,3L
ABCFGHJL,386,3C,3F,3H,3J,3A,3B,3G,3L
ABCFGHJK,387,3C,3F,3H,3K,3A,3B,3G,3J
ABCFGHIL,388,3C,3F,3H,3I,3A,3B,3G,3L
ABCFGHIK,389,3C,3F,3H,3K,3A,3B,3G,3I
ABCFGHIJ,390,3C,3F,3H,3J,3A,3B,3G,3I
ABCEIJKL,391,3A,3C,3E,3K,3I,3B,3J,3L
ABCEHJKL,392,3C,3H,3E,3K,3A,3B,3J,3L
ABCEHIKL,393,3C,3H,3E,3K,3A,3B,3I,3L
ABCEHIJL,394,3C,3H,3E,3I,3A,3B,3J,3L
