match_id,match_number,commence_time,team,opponent,p_win,p_draw,p_loss,team_xg,opponent_xg,expected_total_goals,bookmaker_count
fbfb95c62003fd6d828b309f96ee1f9b,14,2026-06-15T19:00:00Z,Belgium,Egypt,0.5761030396789393,0.24757343195103937,0.1763235283700214,1.739896713760498,0.8686440864801284,2.6085408002406263,19
fbfb95c62003fd6d828b309f96ee1f9b,14,2026-06-15T19:00:00Z,Egypt,Belgium,0.1763235283700214,0.24757343195103937,0.5761030396789393,0.8686440864801284,1.739896713760498,2.6085408002406263,19
64b91c5f2db61c7358a4f05459e83c52,15,2026-06-15T22:00:00Z,Saudi Arabia,Uruguay,0.12168372433902047,0.21533502211564834,0.6629812535453312,0.7182319194718045,1.951775216111112,2.6700071355829165,19
64b91c5f2db61c7358a4f05459e83c52,15,2026-06-15T22:00:00Z,Uruguay,Saudi Arabia,0.6629812535453312,0.21533502211564834,0.12168372433902047,1.951775216111112,0.7182319194718045,2.6700071355829165,19
ec51b9c44ad5e34552f3ab53f7262813,16,2026-06-16T01:00:00Z,Iran,New Zealand,0.5169642269351471,0.2736653939634245,0.20937037910142844,1.5077919790006054,0.8741858709213621,2.3819778499219675,18
ec51b9c44ad5e34552f3ab53f7262813,16,2026-06-16T01:00:00Z,New Zealand,Iran,0.20937037910142844,0.2736653939634245,0.5169642269351471,0.8741858709213621,1.5077919790006054,2.3819778499219675,18
73a4fcd14cc9766b9b9bfd50b8ca153a,17,2026-06-16T19:00:00Z,France,Senegal,0.6510666703213182,0.21760779054561824,0.13132553913306358,1.9302943550830924,0.7506700269767583,2.6809643820598508,18
73a4fcd14cc9766b9b9bfd50b8ca153a,17,2026-06-16T19:00:00Z,Senegal,France,0.13132553913306358,0.21760779054561824,0.6510666703213182,0.7506700269767583,1.9302943550830924,2.6809643820598508,18
4d4f2b9b78182b557d4fbf8dcf4f4af2,18,2026-06-16T22:00:00Z,Iraq,Norway,0.06921958132358441,0.1389204955640111,0.7918599231124045,0.5877425515819616,2.505639298849415,3.093381850431377,18
4d4f2b9b78182b557d4fbf8dcf4f4af2,18,2026-06-16T22:00:00Z,Norway,Iraq,0.7918599231124045,0.1389204955640111,0.06921958132358441,2.505639298849415,0.5877425515819616,3.093381850431377,18
f31b2ee9e1cc6f7e641467f8237eaa21,19,2026-06-17T01:00:00Z,Algeria,Argentina,0.10686061920264739,0.20670759490736695,0.6864317858899857,0.6775329084485828,2.0110897441251585,2.6886226525737413,18
f31b2ee9e1cc6f7e641467f8237eaa21,19,2026-06-17T01:00:00Z,Argentina,Algeria,0.6864317858899857,0.20670759490736695,0.10686061920264739,2.0110897441251585,0.6775329084485828,2.6886226525737413,18
25161cf6cf0cd9be17ae2e7e224a1f45,20,2026-06-17T04:00:00Z,Austria,Jordan,0.7218962447642459,0.17600048542479024,0.1021032698109639,2.2941228729209717,0.748480406815065,3.0426032797360367,18
25161cf6cf0cd9be17ae2e7e224a1f45,20,2026-06-17T04:00:00Z,Jordan,Austria,0.1021032698109639,0.17600048542479024,0.7218962447642459,0.748480406815065,2.2941228729209717,3.0426032797360367,18
6cc871c121a1869b4612d3fb22fa9d55,21,2026-06-17T17:00:00Z,DR Congo,Portugal,0.08812134655870042,0.17242496517314937,0.7394536882681503,0.6550943388277566,2.2694339595104425,2.924528298338199,18
6cc871c121a1869b4612d3fb22fa9d55,21,2026-06-17T17:00:00Z,Portugal,DR Congo,0.7394536882681503,0.17242496517314937,0.08812134655870042,2.2694339595104425,0.6550943388277566,2.924528298338199,18
689096c8cd7e2753b9fec95321943c5d,22,2026-06-17T20:00:00Z,Croatia,England,0.19417708245597468,0.2554870576970101,0.5503358598470153,0.8872403150808297,1.6477320137215412,2.534972328802371,18
689096c8cd7e2753b9fec95321943c5d,22,2026-06-17T20:00:00Z,England,Croatia,0.5503358598470153,0.2554870576970101,0.19417708245597468,1.6477320137215412,0.8872403150808297,2.534972328802371,18
87afdb85c977b451e1c00f5e3e632601,23,2026-06-17T23:00:00Z,Ghana,Panama,0.44620413973930095,0.2813730355887218,0.2724228246719773,1.3724038279529054,1.0143854380521475,2.386789266005053,18
87afdb85c977b451e1c00f5e3e632601,23,2026-06-17T23:00:00Z,Panama,Ghana,0.2724228246719773,0.2813730355887218,0.44620413973930095,1.0143854380521475,1.3724038279529054,2.386789266005053,18
22083e7a8e5362c711bc05c1e1319a1f,24,2026-06-18T02:00:00Z,Colombia,Uzbekistan,0.6831826286922301,0.2052258094164058,0.11159156189136403,1.9653978665822982,0.6551326221940994,2.6205304887763976,18
22083e7a8e5362c711bc05c1e1319a1f,24,2026-06-18T02:00:00Z,Uzbekistan,Colombia,0.11159156189136403,0.2052258094164058,0.6831826286922301,0.6551326221940994,1.9653978665822982,2.6205304887763976,18
